Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;0;0;0;0;0;0;8.24;5.027026504
1;0;1;1;0;0;-7.736183096;-2.98559946;12.5;1.858933322
1;0;1;1;1;0;-9.536183096;-1.32559946;14.18;1.831591759
1;0;1;1;1;1;-9.536183096;-1.32559946;14.18;1.6
1;0;1;1;p;0;-13.1061831;-7.45559946;17.36;0.209001612
1;0;1;1;F1;0;-16.4461831;-5.29559946;19.74;0
1;0;1;1;F2;0;-19.3861831;-4.69559946;15.13;0
1;0;1;1;F3;0;-17.9561831;-9.74559946;9.28;0
1;0;1;1;F4;0;-12.4661831;-9.52559946;9.65;0
1;0;1;1;F5;0;-9.036183096;-10.46559946;14.91;0
1;0;1;1;1;1;-8.866183096;-2.10559946;17.43;1.79548726
1;0;1;1;p;0;-0.036183096;-2.75559946;16.99;0.197620639
1;0;1;1;F1;0;3.793816904;-6.32559946;19.18;0
1;0;1;1;F2;0;8.063816904;-6.85559946;12.78;0
1;0;1;1;F3;0;4.783816904;-3.05559946;7.46;0
1;0;1;1;F4;0;1.803816904;2.51440054;11.08;0
1;0;1;1;F5;0;-2.006183096;2.10440054;14.61;0
1;0;1;1;1;2;-10.3961831;-0.70559946;20.72;1.73464309
1;0;1;1;p;0;-10.6261831;6.38440054;22.73;0.178493207
1;0;1;1;F1;0;-16.9961831;6.94440054;24.68;0
1;0;1;1;F2;0;-17.7261831;11.04440054;19.13;0
1;0;1;1;F3;0;-14.7761831;13.98440054;18.43;0
1;0;1;1;F4;0;-6.986183096;9.97440054;16.78;0
1;0;1;1;F5;0;-4.156183096;5.90440054;20.97;0
1;0;1;1;1;3;-9.446183096;-2.07559946;23.91;1.680008518
1;0;1;1;p;0;-2.686183096;-1.64559946;28.66;0.193514664
1;0;1;1;F1;0;-5.886183096;-4.99559946;30.93;0
1;0;1;1;F2;0;-1.026183096;-8.81559946;30.73;0
1;0;1;1;F3;0;6.063816904;-6.86559946;26.08;0
1;0;1;1;F4;0;4.593816904;-1.04559946;24.53;0
1;0;1;1;F5;0;-0.676183096;5.09440054;25.89;0
1;0;1;1;1;4;-11.3361831;-1.19559946;29.13;1.636977784
1;0;1;1;p;0;-16.3861831;-0.70559946;38.02;0.209833705
1;0;1;1;F1;0;-13.4261831;-6.98559946;38.56;0
1;0;1;1;F2;0;-23.5561831;-8.10559946;37.7;0
1;0;1;1;F3;0;-27.3361831;-2.37559946;37.73;0
1;0;1;1;F4;0;-23.2761831;5.89440054;34.16;0
1;0;1;1;F5;0;-15.0561831;5.99440054;34.59;0
1;0;1;1;1;5;-7.916183096;-3.73559946;35.55;1.635438112
1;0;1;1;p;0;3.163816904;-2.72559946;38.81;0.217461669
1;0;1;1;F1;0;3.123816904;-9.23559946;44.24;0
1;0;1;1;F2;0;12.7438169;-7.37559946;42.16;0
1;0;1;1;F3;0;14.1738169;-3.28559946;34.85;0
1;0;1;1;F4;0;7.273816904;2.76440054;30.31;0
1;0;1;1;F5;0;3.833816904;4.13440054;36.02;0
1;0;1;1;1;6;-9.486183096;-2.13559946;44.69;1.603907774
1;0;1;1;1;7;-6.776183096;-5.78559946;52.72;1.585608101
1;0;1;1;p;0;6.333816904;-7.78559946;57.67;0.208406918
1;0;1;1;F1;0;8.983816904;-13.56559946;65.52;0
1;0;1;1;F2;0;15.3838169;-16.52559946;59.77;0
1;0;1;1;F3;0;20.0638169;-7.36559946;51.54;0
1;0;1;1;F4;0;14.8738169;-1.28559946;51.2;0
1;0;1;1;F5;0;7.583816904;1.57440054;56.1;0
1;0;1;1;1;8;-8.446183096;-1.79559946;59.15;1.568905803
1;0;1;1;p;0;1.653816904;6.97440054;61.07;0.240708417
1;0;1;1;F1;0;8.723816904;10.42440054;63.25;0
1;0;1;1;F2;0;7.643816904;17.60440054;59.83;0
1;0;1;1;F3;0;5.523816904;10.54440054;51.37;0
1;0;1;1;F4;0;8.113816904;8.08440054;51.26;0
1;0;1;1;F5;0;4.703816904;0.68440054;54.78;0
1;0;1;1;1;9;-7.496183096;-4.89559946;69.46;1.520511743
