Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
101;base;0;0;0;0;0;0;30.98;0
101;0;1;0;0;0;-1.87;-8.72;35.63;1.709
101;0;2;0;0;0;0.88;-7.05;42.91;2.129
101;0;2.a;0;0;0;3.47;-7.67;44.68;2.642
101;0;2.a;1;0;0;4.28;-8.77;46.4;1.687
101;0;2.a;1;1;0;2.13;-7.43;48.12;2.148
101;0;2.a;1;1;1;1.49;-6.85;49.43;1.921
101;0;2.a;1;p;0;3.9;-6.34;48.16;0.11
101;0;2.a;1;F1;0;5.39;-7.29;48.87;0
101;0;2.a;1;F2;0;5.48;-7.57;47.6;0
101;0;2.a;1;F3;0;4.61;-7.44;46.97;0
101;0;2.a;1;F4;0;4.06;-6.92;45.6;0
101;0;2.a;1;F5;0;3.63;-6.07;46.86;0
101;0;2.a;1;1;2;2.24;-7.03;49.61;1.661
101;0;2.a;1;p;0;-1.24;-6.29;45.94;0.213
101;0;2.a;1;F1;0;-0.58;-1.2;46.67;0
101;0;2.a;1;F2;0;0.17;-3.48;42.11;0
101;0;2.a;1;F3;0;1.72;-6.23;42.56;0
101;0;2.a;1;F4;0;1.06;-9.45;44.22;0
101;0;2.a;1;F5;0;-1.81;-10.21;46.52;0
101;0;2.a;1;1;3;3.77;-6.91;51.55;1.18
101;0;2.a;1;p;0;5.03;-0.43;49.77;0.281
101;0;2.a;1;F1;0;11.47;-0.32;51.76;0
101;0;2.a;1;F2;0;8.27;-0.73;45.83;0
101;0;2.a;1;F3;0;6.69;-2.55;43.24;0
101;0;2.a;1;F4;0;1.69;0.02;43.66;0
101;0;2.a;1;F5;0;0.41;1.79;48.53;0
101;0;2.a;1;1;4;3.57;-6.09;55.76;1.2
101;0;2.a;1;p;0;-3.77;0.77;55.09;0.323
101;0;2.a;1;F1;0;3.19;3.58;57.07;0
101;0;2.a;1;F2;0;1.55;4.97;50.13;0
101;0;2.a;1;F3;0;-1.07;0.9;46.71;0
101;0;2.a;1;F4;0;-3.73;-4.31;50.61;0
101;0;2.a;1;F5;0;-7.5;-1.42;53.77;0
101;0;2.a;1;1;5;4.21;-4.61;59.6;1.028
101;0;2.a;1;p;0;2.33;3.45;60.14;0.28
101;0;2.a;1;F1;0;4.78;8.39;61.82;0
101;0;2.a;1;F2;0;4.59;10.46;57.63;0
101;0;2.a;1;F3;0;3.82;9.09;54.81;0
101;0;2.a;1;F4;0;0.81;6.04;53.89;0
101;0;2.a;1;F5;0;-2.11;4.26;57.2;0
101;0;2.a;1;1;6;1.3;-2.23;63.85;1.08
101;0;2.a;1;1;7;3.18;-1.55;67.41;1.034
101;0;2.a;1;p;0;6.31;4.77;68.26;0.283
101;0;2.a;1;F1;0;9.24;8.2;72.1;0
101;0;2.a;1;F2;0;11.85;10.69;67.51;0
101;0;2.a;1;F3;0;9.23;8.15;60.15;0
101;0;2.a;1;F4;0;4.43;9.69;61.3;0
101;0;2.a;1;F5;0;-1.01;7.04;68.59;0
101;0;2.a;1;1;8;2.91;-0.83;70.69;1.121
101;0;2.a;1;p;0;-1.51;5.06;69.26;0.265
101;0;2.a;1;F1;0;-1.13;11.43;69.91;0
101;0;2.a;1;F2;0;-3.1;11.73;63.46;0
101;0;2.a;1;F3;0;-7.25;12.36;62.4;0
101;0;2.a;1;F4;0;-10.99;6.11;69.41;0
101;0;2.a;1;F5;0;-7;2.42;71.93;0
101;0;2.a;1;1;9;2.05;0.35;73.66;0.999
101;0;2.a;1;p;0;8.06;4.6;76.52;0.28
101;0;2.a;1;F1;0;7.74;4.97;82.96;0
101;0;2.a;1;F2;0;10.45;10.81;78.95;0
101;0;2.a;1;F3;0;11.82;9.84;70.11;0
101;0;2.a;1;F4;0;8;8.88;69.14;0
101;0;2.a;1;F5;0;2.49;6.21;73.22;0
101;0;2.a;1;1;10;2.05;2.23;79.11;0.983
101;0;2.a;1;p;0;-1.62;8.95;78.35;0.313
101;0;2.a;1;F1;0;0.05;16.54;78.71;0
101;0;2.a;1;F2;0;0.97;16.08;72.4;0
101;0;2.a;1;F3;0;-5.92;15.34;69.06;0
101;0;2.a;1;F4;0;-10.82;11.31;74.66;0
101;0;2.a;1;F5;0;-6.59;5.58;79.12;0
101;0;2.a;1;1;11;2.86;3.67;81.9;1.017
101;0;2.a;1;p;0;7.54;10.29;82.3;0.32
101;0;2.a;1;F1;0;13.68;15.16;84.95;0
101;0;2.a;1;F2;0;12.05;16.04;75.58;0
101;0;2.a;1;F3;0;7.03;15.8;73.61;0
101;0;2.a;1;F4;0;2.77;16.97;77.24;0
101;0;2.a;1;F5;0;1.07;9.31;80.39;0
101;0;2.a;1;1;12;2.63;5.42;87.05;1.02
101;0;2.a;1;p;0;-2.19;11.28;88.71;0.309
101;0;2.a;1;F1;0;0.66;19.51;89.73;0
101;0;2.a;1;F2;0;1.07;18.82;82.1;0
101;0;2.a;1;F3;0;-1.54;7.96;80.1;0
101;0;2.a;1;F4;0;-7.84;13.45;81.16;0
101;0;2.a;1;F5;0;-9.77;10.73;89.39;0
101;0;2.a;1;1;13;3.67;7.36;92.1;0.993
101;0;2.a;1;p;0;8.06;15.38;94.21;0.302
101;0;2.a;1;F1;0;9.12;18.11;101.89;0
101;0;2.a;1;F2;0;16.82;21.97;95.1;0
101;0;2.a;1;F3;0;11.69;24.78;88.39;0
101;0;2.a;1;F4;0;5.6;23.7;87.59;0
101;0;2.a;1;F5;0;-0.68;16.16;91.45;0
101;0;2.a;1;1;14;4.14;9.11;98.34;0.991
101;0;2.a;1;p;0;-1.72;15.65;101.51;0.324
101;0;2.a;1;F1;0;-1.51;24.15;103.06;0
101;0;2.a;1;F2;0;-0.59;26.15;97.72;0
